drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon
opioid_misuse,1500,30,0.7,0.0,0.0,0.0,0.023826963599177874,0.0030813269832181706,7.976391505814476e-05,0.12932100938469931,0.0033476323882450946,0.0,0.5403230178522054,173729,0.22239810279227992,10
opioid_misuse,1000,30,0.7,0.0,0.0,0.0,0.019449167641625666,0.002165885882409548,9.311327369969803e-05,0.11136136632264185,0.004787519724001676,0.0,0.5185541510238497,173729,0.22239810279227992,10
opioid_misuse,500,30,0.7,0.0,0.0,0.0,0.012478767245547652,0.0011136671307540313,7.737812876240733e-05,0.08924496377247368,0.006200783077352082,0.0,0.4086522782623765,173729,0.22239810279227992,10
opioid_misuse,200,30,0.7,0.0,0.0,0.0,0.007098324361172716,0.0004883512428466902,9.393803960849531e-05,0.06879810191795878,0.013233833060986773,0.0,0.3110069354915299,173729,0.22239810279227992,10
opioid_misuse,100,30,0.7,0.0,0.0,0.0,0.005270285196239673,0.00019161919415217467,5.4404822145366844e-05,0.036358410791297244,0.01032293701756111,0.0,0.16819123240061928,173729,0.22239810279227992,10
opioid_misuse,50,30,0.7,0.0,0.0,0.0,0.003424854928463296,0.00015754484094899644,9.17740293969923e-05,0.046000442132503844,0.02679647205908676,0.0,0.08411959626839256,173729,0.22239810279227992,10
opioid_misuse,30,30,0.7,0.0,0.0,0.0,0.0028890151791506873,8.822598935868752e-05,8.822598935868752e-05,0.030538430533488647,0.030538430533488647,0.0,0.0693666781336821,173729,0.22239810279227992,10
tranquilizer_misuse,1500,30,0.7,0.0,0.0,0.0,0.025339550972896713,0.0031911264559514618,8.146447238572727e-05,0.1259346094713637,0.0032149138109377707,0.0,0.5403230178522054,173729,0.09864213804258357,10
tranquilizer_misuse,1000,30,0.7,0.0,0.0,0.0,0.020431149386411978,0.002183592822959402,7.520358149644803e-05,0.10687567212501665,0.0036808297014588533,0.0,0.5185541510238497,173729,0.09864213804258357,10
tranquilizer_misuse,500,30,0.7,0.0,0.0,0.0,0.012926624667196669,0.0009590976301254068,5.705560004312009e-05,0.07419551931133786,0.004413804957755724,0.0,0.4086522782623765,173729,0.09864213804258357,10
tranquilizer_misuse,200,30,0.7,0.0,0.0,0.0,0.007778215990485076,0.00040736728533643715,8.806674220746121e-05,0.05237284305742612,0.011322228942368194,0.0,0.3110069354915299,173729,0.09864213804258357,10
tranquilizer_misuse,100,30,0.7,0.0,0.0,0.0,0.005580708728504972,0.00019749001527612865,5.0050617883780867e-05,0.035387981147877376,0.008968505671714037,0.0,0.16819123240061928,173729,0.09864213804258357,10
tranquilizer_misuse,50,30,0.7,0.0,0.0,0.0,0.002789942140989883,0.00012283262081030745,8.876384644043755e-05,0.044026941994835034,0.03181565851718479,0.0,0.08411959626839256,173729,0.09864213804258357,10
tranquilizer_misuse,30,30,0.7,0.0,0.0,0.0,0.002188689171286237,5.918892729676336e-05,5.918892729676336e-05,0.02704309413747386,0.02704309413747386,0.0,0.0693666781336821,173729,0.09864213804258357,10
sedative_misuse,1500,30,0.7,0.0,0.0,0.0,0.011682373253776732,0.003354102096860302,0.00010334129421006463,0.28710793808749197,0.00884591614778752,0.0,0.5403230178522054,173729,0.042117320654582714,10
sedative_misuse,1000,30,0.7,0.0,0.0,0.0,0.009186996443428186,0.002204076632014133,0.00011208136463412643,0.23991264670520193,0.012200000873441348,0.0,0.5185541510238497,173729,0.042117320654582714,10
sedative_misuse,500,30,0.7,0.0,0.0,0.0,0.005886552317505743,0.0010614182497790583,8.706666637689199e-05,0.1803123785416051,0.014790774239442075,0.0,0.4086522782623765,173729,0.042117320654582714,10
sedative_misuse,200,30,0.7,0.0,0.0,0.0,0.0032847007846514512,0.00042120805563904026,6.81003971674326e-05,0.12823331050646544,0.020732602946864433,0.0,0.3110069354915299,173729,0.042117320654582714,10
