group,members,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
nicotine,"tobacco,nicotine_vaping",200,30,0.7,0.4347638186611349,0.3393646037416926,0.3533888717474031,0.024800723587938486,0.0006956285129747848,0.00014825366283356244,0.028048718437920693,0.005977795861797504,0.2696698270116646,0.3104501740645875,115739,0.2595927042742723,1.0,0.4409028347578777
nicotine,"tobacco,nicotine_vaping",100,30,0.7,0.4048957043527955,0.3478832116788321,0.2865724555615737,0.016369224450252063,0.0003173488762523766,8.7767639913209e-05,0.019386921916602462,0.005361746989293528,0.24105472506579229,0.18882737305131847,115739,0.2595927042742723,1.0,0.4409028347578777
nicotine,"tobacco,nicotine_vaping",50,30,0.7,0.40539183500057935,0.3470780183921685,0.296103413001023,0.00940601574490652,0.00011076424013093224,7.10466762480098e-05,0.011775893548861271,0.007553323125839174,0.2679175805699597,0.10520337027193823,115739,0.2595927042742723,1.0,0.4409028347578777
nicotine,"tobacco,nicotine_vaping",30,30,0.7,0.3900504987270982,0.32323897300855825,0.32323897300855825,0.006992898468965434,8.46305232778306e-05,8.46305232778306e-05,0.012102352644389427,0.012102352644389427,0.3002544545104276,0.07655013323818136,115739,0.2595927042742723,1.0,0.4409028347578777
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",639,30,0.7,0.477147235533069,0.38115973582988605,0.397739651416122,0.02312494244032078,0.0014486058114735023,7.161084415352632e-05,0.06264256939068981,0.003096692860461579,0.2757036290868175,0.44263480583665477,173729,0.3195033644354138,1.0,0.4409028347578777
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",639,30,0.7,0.477147235533069,0.38115973582988605,0.397739651416122,0.02312494244032078,0.0014486058114735023,7.161084415352632e-05,0.06264256939068981,0.003096692860461579,0.2757036290868175,0.44263480583665477,173729,0.3195033644354138,1.0,0.4409028347578777
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",500,30,0.7,0.4776825862640223,0.3958237933876729,0.3808048786390146,0.021098258323166048,0.001089286066156586,6.513653530794807e-05,0.051629193721670456,0.003087294425456326,0.2684667501393549,0.4184433582234952,173729,0.3195033644354138,1.0,0.4409028347578777
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",200,30,0.7,0.44209750706127965,0.39801872710001357,0.36919907288179243,0.011953532387043098,0.0004869596062980658,0.0001007244893842128,0.04073771589274317,0.008426336761624707,0.28800216187671046,0.2819316024434609,173729,0.3195033644354138,1.0,0.4409028347578777
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",100,30,0.7,0.4249589168771921,0.37609885347794864,0.3459633956173228,0.007011919025747013,0.0002112546875590065,5.5207066368518146e-05,0.030127941692324453,0.007873317727401548,0.2950427367626948,0.17258740009446105,173729,0.3195033644354138,1.0,0.4409028347578777
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",50,30,0.7,0.4377813794345399,0.3607270060758433,0.3405937263476579,0.004107915383927057,8.129765084642073e-05,5.766385961679041e-05,0.019790488179116862,0.014037255938233397,0.31498272136886746,0.08130923774957821,173729,0.3195033644354138,1.0,0.4409028347578777
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",30,30,0.7,0.427595064446585,0.40420912715994683,0.40420912715994683,0.0034370182485666707,5.371462522065244e-05,5.371462522065244e-05,0.015628263028004838,0.015628263028004838,0.37834337228020476,0.06836581997949116,173729,0.3195033644354138,1.0,0.4409028347578777
